Period,Itotal,Ifoods,Iindustrial,Icapital_goods,Ivehicles,Iconsumer_goods,Iother,Etotal,Efoods,Eindustrial,Ecapital_goods,Evehicles,Econsumer_goods,Eother
2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
JAN,190659.00,9339.00,61101.00,45868.00,23731.00,44495.00,6126.00,129361.00,11367.00,41479.00,44249.00,12159.00,15441.00,4667.00
FEB,190166.00,9577.00,58514.00,46215.00,24832.00,45190.00,5837.00,130656.00,11266.00,43311.00,43491.00,12329.00,15130.00,5129.00
MAR,none,none,none,none,none,none,none,none,none,none,none,none,none,none
APR,none,none,none,none,none,none,none,none,none,none,none,none,none,none
MAY,none,none,none,none,none,none,none,none,none,none,none,none,none,none
JUN,none,none,none,none,none,none,none,none,none,none,none,none,none,none
JUL,none,none,none,none,none,none,none,none,none,none,none,none,none,none
AUG,none,none,none,none,none,none,none,none,none,none,none,none,none,none
SEP,none,none,none,none,none,none,none,none,none,none,none,none,none,none
OCT,none,none,none,none,none,none,none,none,none,none,none,none,none,none
NOV,none,none,none,none,none,none,none,none,none,none,none,none,none,none
DEC,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2012,2275151.00,110232.00,731086.00,548282.00,297721.00,516381.00,71450.00,1547137.00,132861.00,500852.00,526660.00,145992.00,181621.00,59153.00
JAN,192379.00,9587.00,65186.00,44594.00,24160.00,43063.00,5788.00,126335.00,10207.00,41789.00,43189.00,12449.00,14457.00,4244.00
FEB,186260.00,8992.00,61828.00,44680.00,24603.00,40271.00,5886.00,126688.00,9592.00,42139.00,43347.00,12051.00,14794.00,4764.00
MAR,197352.00,9183.00,65543.00,47836.00,24573.00,43841.00,6375.00,130596.00,9978.00,43921.00,44653.00,11891.00,14891.00,5262.00
APR,193713.00,9204.00,64997.00,45883.00,24260.00,43502.00,5867.00,128818.00,10676.00,42922.00,43194.00,12315.00,15101.00,4610.00
MAY,191843.00,9129.00,61307.00,47265.00,24750.00,43246.00,6146.00,129448.00,11583.00,42051.00,43873.00,12210.00,14924.00,4807.00
JUN,188088.00,8979.00,58932.00,46043.00,25450.00,42452.00,6231.00,131328.00,10782.00,42598.00,44198.00,12906.00,15789.00,5055.00
JUL,186472.00,9092.00,56996.00,45471.00,26193.00,42905.00,5814.00,129080.00,12621.00,40220.00,44123.00,12279.00,15362.00,4474.00
AUG,185502.00,9171.00,58500.00,44933.00,25310.00,41625.00,5964.00,127044.00,11556.00,39024.00,44522.00,12193.00,14937.00,4813.00
SEP,189135.00,9266.00,59544.00,45520.00,24422.00,44244.00,6140.00,132320.00,12694.00,42434.00,44928.00,11904.00,15426.00,4933.00
