Country,Net_ODA,%ODA_LDCs,%ODA_LICs,%ODA_LMICs,%ODA_UMICs,S_Sahara,S_Asia,Oceania,N_Africa,Europe,Latin_Am,Soc_Infra,Econ_Infra,Production,Multisector,Hum_Aid,Admin_Expenses,Other
AU,4983,40.24539035,2.685144669,51.94383139,5.125633598,13.2,18,62.6,4.2,0.34936198,1.688409534,49.4,6.6,7,17.5,10.1,7,2.4
AT,1111,45.20857407,2.461867345,30.38074879,21.9488098,45.3,12.9,7.5,6.7,20.19528259,7.34984111,55.9,10,3.2,5,2.9,7,16.1
BE,2807,64.80011186,2.413402992,22.526281,10.26020415,67.3,8.2,4.4,7.1,4.598153496,8.432402677,37.7,12.8,12.1,5.5,8.4,5.2,18.4
CA,5457,63.28416407,3.700994468,26.93558625,6.079255207,51,18.5,6.4,4.2,2.094360113,17.81759392,44.3,8.2,9,8.2,12,6.7,11.6
DK,2931,56.04041673,7.303567369,29.44082182,7.215194076,54.7,18.2,8,7.8,3.884207023,7.49851665,44.9,6.2,8.1,5.5,9.5,8.2,17.8
FI,1406,54.41893228,5.853849737,27.93942217,11.78779582,50.1,16.9,9,7,6.766825888,10.28016554,34.7,7.3,20.6,11.7,12.2,7.7,5.8
FR,12997,37.65048321,2.840223136,34.94931832,24.55997533,50.7,8.2,11.2,12.3,7.218701383,10.33389233,28.1,11.4,3.8,20.1,0.9,4.9,30.9
DE,14093,39.40971741,4.052118673,33.9159595,22.62220441,37.2,21.7,9.7,10.3,9.360450404,11.73766537,39.8,24.3,5.5,17.8,3.3,4.7,4.5
GR,425,29.77886828,2.173217306,28.95286283,39.09505159,30.2,9.5,3.6,15.4,33.7331415,7.509849534,55,13.5,0.2,5.5,0.9,8.3,16.5
IE,914,69.79914885,4.843304843,17.63326726,7.724279046,68.9,9.4,6.9,5.3,4.136127433,5.397547804,53.3,1.2,9.9,3,14.5,6.5,11.6
IT,4326,52.41057259,2.995249896,28.71429432,15.87988319,51.6,13.8,3.3,10.5,12.27392858,8.495597467,13.7,1.4,2.2,2,4.3,2.7,73.7
JP,10831,50.37777488,3.559847463,47.7162701,-1.653892441,37.3,42.2,9.5,4.1,5.515481295,1.468829933,24.5,41.5,9.3,9.8,5.8,5,4.1
KR,1328,43.34312228,2.014331023,43.77446259,10.86808411,22,30.4,31.4,5.5,3.382207225,7.334280065,42.8,36.7,10,3.6,1.3,3.3,2.3
LU,409,50.24466628,1.684935082,35.96920467,12.10119397,50.9,10.9,12.3,5.9,7.615066634,12.31644867,41.5,8,6.5,7.4,18.8,7.1,10.6
NL,6344,57.27444436,3.638720549,27.13722817,11.94960691,56.4,15.6,5.8,6.5,5.897405577,9.833108657,35.2,21.3,8.1,7.6,4.2,7.2,16.5
NZ,424,42.92973203,2.426631117,39.39025097,15.25338588,10.7,8.1,76.2,1.9,0.712684177,2.391095452,40.4,11.6,12.5,4.5,7.9,13.7,9.3
NO,4934,52.02892969,4.421024711,25.50296309,18.04708251,46.3,17.9,7.1,7.8,4.82781881,16.04091122,34.1,12.9,16.2,6.1,9.5,7,14.2
PT,708,54.88977207,1.021603995,34.86276708,9.225856857,71.5,6.4,7.7,3.6,6.428495724,4.431055708,25,10.5,0.4,1.6,0.1,2.8,59.7
ES,4173,42.34438071,1.995963459,32.12510243,23.5345534,37.3,9.4,4.5,15.8,6.955436528,25.97633535,40.8,1.3,23.2,7.6,9.6,6.5,10.9
SE,5603,55.20367401,5.828429357,26.55255266,12.41534397,52.9,14.9,6.9,8.8,8.673591786,7.753874388,35.8,5.6,5.2,8.8,13.4,7,24.2
CH,3076,47.00898545,5.710314243,34.23143751,13.0492628,42.5,19.9,9.5,6.4,10.73204728,10.95763119,30.7,7.4,8.7,8.8,11.7,8.1,24.5
GB,13832,53.01997469,4.689347078,33.04405433,9.246623894,54.2,25.4,5.7,5.9,4.297111361,4.61785658,50.1,9,5.3,11.2,8,5.2,11.2
US,30924,48.02495596,6.259149684,31.81698901,13.89890535,42.6,24,5.8,12.7,2.589154861,12.24926642,53.1,6.3,5.8,7,13.8,5.3,6
