,AF,AL,DZ,AO,AG,AR,AM,AZ,BD,BY,BZ,BJ,BT,BO,BA,BW,BR,BF,BI,KH,CM,CV,CF,TD,CL,CN,CO,KM,CD,CG,CR,CI,CU,DJ,DM,DO,EC,EG,SV,GQ,ER,ET,FJ,GA,GM,GE,GH,GD,GT,GN,GW,GY,HT,HN,IN,ID,IR,IQ,JM,JO,KZ,KE,KI,KP,KR,KG,LA,LB,LS,LR,LY,MK,MG,MW,MY,MV,ML,MR,MU,MX,FM,MD,MN,ME,MA,MZ,MM,NA,NP,NI,NE,NG,PK,PA,PG,PY,PE,PH,RW,WS,ST,SN,RS,SC,SL,SB,SO,ZA,SS,LK,LC,SD,SR,SZ,SY,TJ,TZ,TH,TL,TG,TO,TN,TR,TM,TV,UG,UA,UY,UZ,VU,VE,VN,YE,ZM,ZW
AU,1.03,8.09,0.15,0.02,0,0.34,2.32,0.51,0.69,0.92,0,0.05,3.88,0.25,27.01,0,1.59,7.06,0.86,0.59,0.32,0.43,0.02,0,0.23,20.91,0.89,0,0.71,0.01,0.21,1.8,0.22,0,0,0.03,0.27,8.75,0.54,0.01,0.01,11.87,0,0,-0.07,1.81,4,0.02,6.4,0.19,0,0.02,0.59,0.44,1.99,0.6,6.21,0.89,0.1,0.15,0.54,2.74,0,0.03,12.74,1.16,1.6,0.17,0,0.42,2.03,2.25,0.5,0.05,0.15,0,0.9,0,0.01,2.19,0,3.05,1.24,1.16,0.18,9.82,0.05,0.07,2.44,9.39,0.22,0.91,2.3,0.02,0.63,0.03,0.92,0.52,0.66,0,0.01,1.16,10.37,0,0.03,0,1.54,0.92,0.2,1.14,0.02,0.37,0,0,0.47,0.12,1.52,0.92,0.02,31.5,0,0.44,31.64,0.06,0,13.07,14.2,0,0.53,0,0.3,7.31,0.25,0.03,0.62
AT,159.39,0.01,0.07,0.22,0.93,0.37,0,0.06,79.58,0,1.45,0.53,7.75,0.01,0.01,2.89,0.35,0.9,0.93,71.55,0.69,0.22,1.21,2.19,0.85,34.56,0.65,0.15,10.43,0.25,0.02,0.79,0.71,0.19,1.06,0.84,0.05,8.48,0.09,0.02,0,18.82,36.58,0.08,1.3,0,3.31,1.09,0.85,0.2,0.38,0.98,2.61,0,24.33,447.46,0.38,37.18,1.37,0.69,0,15.28,40.98,6.71,0,0,53.93,0.95,1.34,3.03,40.95,0.01,0.78,6.81,3.54,4.13,0.9,0.08,1,1.33,2.05,0,7.42,0.01,0.16,6.73,44.43,1.2,28.45,0.05,3.75,3.31,74.49,0.01,510.9,1.67,0.73,114.38,2.08,29.02,0.13,1.05,0.01,0.88,1.44,252.02,63.08,5.03,2.65,58.22,2,31.13,0.89,1.45,5.21,0.13,13.58,10.33,103.87,0.74,31.36,0.64,0.2,0,9.59,11.09,0,0.03,0,61.78,0.09,137.26,5.17,9.09,47.55
BE,16.86,0.02,6.97,1.12,0,0.03,0.37,0,0.49,0.05,0,28.39,0,23.62,-0.14,0.03,4.46,11.57,63.85,7.16,4.61,0.32,3.9,1.71,0.42,-3.51,4.37,0,173.19,0.21,0,2.51,3.73,0.12,0,0.8,12.14,1.1,1.25,0.18,0.11,8.4,0,-0.65,0.33,0,14.29,0,4.52,1.47,0.79,0.08,13.12,2.7,5.37,-5.04,0,0.35,3.75,0.2,0.16,20.66,0,0.34,0.11,0.14,2.74,1.57,0.01,47.41,4.52,0.08,1.87,8.29,0,0,19.58,0.37,0,0.65,0,0.01,0.01,0.09,28.79,33.47,0.84,0.8,0.43,3.97,23.59,0.04,14.18,0.01,0.01,0.02,16.83,4.9,76.52,0,0,23.98,1.2,0,0.01,0,7.46,17.19,6.82,0.73,0,7.83,2.21,0,0.02,0,25.68,0.62,0,88.01,0,6.77,-4.68,0,0,14.16,0.1,0.05,0,0,0.18,22.98,0,1.6,1.5
CA,225.15,0.07,-0.15,1.02,0.01,2.49,0.03,0.04,61.21,0.08,0.11,7.74,0.91,27,0.16,1.18,4.14,26.18,2.82,18.15,12.23,0.11,5.81,9.4,1.7,-1.97,33,0.67,36.73,1.63,2.11,10.18,5.26,2.86,0.1,0.72,1.18,15.17,3.64,1.57,0.75,118.64,0,1.58,2.96,0.06,70.72,0.11,10.59,2.55,0.84,4.03,241.75,34.58,10.78,13.65,0.52,2.69,5.16,7.09,0.04,41.6,0.72,2.53,0,0.39,2.69,2.8,1.39,7.78,4.33,0,1.94,12.46,-0.03,0.55,116.17,0.55,0,2.29,0,0,0.93,0.14,2.91,129.81,4.13,1.33,11.85,17.83,11.2,28.2,87.49,1.74,1.09,1.51,22.22,11.88,11.85,0.52,0.5,61.83,0.64,0,6.69,0.41,24.05,11.77,48.95,11.72,0.09,52.34,1.2,1.61,1.01,0.67,94.68,2.15,1.3,1.41,0.12,1.06,-2.04,0,0.48,6.4,26.78,0.54,0,1.64,0.39,32.65,5.58,7.53,13.8
DK,90.15,1.42,0,1.17,0,-4.19,4.16,0.08,58.36,1.71,0,36.23,12.66,39.45,0.06,0,0,42.57,1.98,9.65,0.11,0,0,0.76,0,12.08,0.08,0,2.87,0.02,0,5.92,0,0,0,0,0.16,12,0,0,0.31,21.89,0,0,0.3,4.54,71.7,0,2.71,0.1,0,0,-0.02,3.04,4.24,22.53,0.56,8.11,0,4.06,-0.02,71.27,0,0.14,5.12,1.36,0.57,0.69,0.12,11.7,3,0.01,0.06,7.24,0.24,9.39,31.79,0,0,0,0,1.8,2.78,0.8,2.16,113.25,11.07,0,33.17,35,8.79,0.42,17.83,-0.57,0,0,0.62,1.98,2.55,0,0,0.14,2.24,-0.29,3.76,0,37.11,10.9,35.76,1.29,0,7.59,0,0.51,2.43,2.56,126.16,0.04,0,0.99,0,0.81,0.83,0.03,0,68.18,9.55,0,0.09,0,0,62.12,3.02,41.79,29.56
FI,31.05,0.57,0.17,1.57,0.01,0.19,0.24,0.67,0.82,0.41,0.02,0.37,0.26,1.06,2.16,0.54,1.51,0,0.62,3.08,0.45,0,1.91,4.31,0.3,2.81,1.78,0,8.08,0.02,0.18,1.45,0,0,0,0.29,1.04,1.95,0.67,0,0.54,23.65,0,0.03,0.19,4.19,0.9,0.03,2.74,0.02,0.83,0.13,8.24,8.54,1.36,2.73,0.03,2.01,0.08,0.31,0.41,21.82,0,1.72,2.36,1.53,9.65,0.73,0.06,1.99,2.29,0.16,0.39,1.97,0.2,0.25,1.17,0.24,0,0.84,0,1.25,3.06,0.03,0.52,34.63,0.5,4.6,26.09,15.72,1.67,1.28,10.55,0.03,0.09,0.07,3.55,3.68,0.15,0,0,1.04,8.42,0,3.67,0.08,10.41,5.88,2.36,2.92,0,9.65,0.02,0.37,1.21,0.86,54.54,0.96,0.67,0.32,0,2.04,1,0,0,4.89,1.67,0.05,0.02,0,0.5,23.17,4.32,18.81,2.85
FR,65.73,4.2,73.29,4.24,0,10.95,5.59,2.48,-4.2,0.97,0,41.54,0.22,10.13,2.94,0.68,59.18,78.54,13.56,25.67,148.93,1.75,21.43,35.54,9.68,290.97,178.73,21.81,1131.04,61.31,3.3,553.21,2.39,43.96,2.39,105.95,0.52,115.84,3.21,3.68,0.79,13.19,0.78,51.39,0.35,7.27,36.67,-0.47,3.22,36.42,14.39,0,53.52,1.72,75.97,-42.5,14.87,9.4,-0.02,21.18,3.32,92.78,0,1.49,1.12,0.8,16.84,55.3,-1.52,1.31,14.3,3.18,89.25,0.15,1.97,0.63,73.45,57.15,100.53,430.92,0,6.97,5.16,0.54,523.85,11,3.34,-2.49,-3.35,1.37,47.28,10.56,15.03,0.52,0.11,0.42,10.98,-10.38,5.3,0.22,2.22,177.32,11.27,2.39,0.43,0.54,2.93,143.92,0.26,11.54,-1.98,8.48,14.17,0.21,22.2,0.19,19.96,-12.61,0.17,36.78,0,304.36,244.6,0.16,0,0.6,36.12,0.1,1.93,2.16,7.47,220.45,4.55,0.82,1.82
DE,539.3,38.76,10.39,5.68,0.04,21.84,40.93,13.83,77.06,17.64,0.13,49.5,0.58,39.29,32.94,2.03,215.71,43.78,32.9,10.11,97.08,0.21,5.31,14.72,36.46,485.55,46.22,0.02,93.89,100.37,9.9,19.46,2.85,6.8,0.04,0.75,41.11,164.33,14.85,0.08,0.8,101.21,0.84,-3.52,0.47,73.61,99.32,0.03,18.17,13.92,1.31,5.82,27.91,14.34,496.9,74.72,54.3,29.49,-5.39,35.59,5.88,156.56,0.05,2.52,34.18,32.87,24.32,29.16,3.86,110,15.25,23.25,20.26,26.31,10.8,0.28,36.49,9.3,-0.17,91.25,0.04,8.58,34.72,4.08,56.09,91.94,10.73,68.7,40.42,21.81,29.86,21.78,125.66,1.47,1.59,4.1,217,10.17,47.35,0.51,0.08,25.44,71.46,0.58,16.7,0,34.01,105.29,17.37,1.89,0.03,29.6,0.04,0.71,45.38,39.69,93.51,-48.91,8.02,33.73,0,31.13,58.65,1.59,0,61.88,79.84,-9.02,16.39,0,7.94,123.86,100.81,39.56,58.5
GR,0.77,51.97,0.07,0.03,0.06,0.52,1.92,0.19,0.2,0.17,0,0,0,0.01,0.66,0,0.45,0,0.08,0,0.15,0.01,0,0.01,0.16,0.52,0.08,0,1,0.36,0.01,0.03,0.05,0.02,0,0,0,8.4,0.05,0.01,0.02,1.1,0,0,0.02,1.66,0.08,0,0,0.01,0.01,0,0.01,0,0.21,0.03,0.77,0.55,0,1.96,0.26,0.32,0,0.14,0.03,0.08,0,0.98,0,0.01,1.53,0.57,0.08,0.02,0,0.02,0,0.02,0,0.12,0,1.7,0.01,0.16,0.16,0.02,0,0.02,0.1,0,0.05,1.45,0.21,0.05,0,0,0.08,0.08,0.02,0,0.04,0.01,13.31,0.02,0.19,0,0.01,0.75,0,0.01,0,0.93,0,0,2.76,0.01,0.03,0.09,0,0.02,0,0.13,3.28,0.01,0,0.2,3.68,0.08,0.35,0,0.09,0.05,0.05,0.04,0.26
IE,9.1,0.01,0.35,1.14,0,0.26,0,0,2.31,0.39,0,0.26,0,1.25,0.34,0.04,0.85,0.07,1.67,2.99,0.52,0,3.48,2.22,0.03,0.05,1.89,0,10.3,0,0,0.79,0,0,0,0,0.02,0.76,1.5,0,0.35,49.52,0,0,0.25,0.28,0.6,0,2.04,0.35,0,0,4.23,1.68,4.76,0,0,0.34,0,0.1,0.02,11.42,0,0.35,0,0.08,0.7,1.89,15.85,10.38,1.56,0.01,0.11,24.66,0.01,0,0,0.25,0,0.09,0,0.1,0,0,0,58.78,0.49,0,0.89,1.64,2.42,1.91,2.01,0,0,0.09,0.45,0.58,2.29,0,0,0.05,0,0,12.67,0.16,11.22,8.67,6.53,0.18,0,6.53,0,0,0.09,0,49.45,0.4,4.78,0.13,0,0.08,0,0,0,59.48,0.1,0,0,0,0,16.47,0.28,28.75,10.06
