Period,Total Census Basis (1),End-Use Commodity Category ,,,,,
,,"Foods, Feeds, Beverages",Industrial Supplies (2),Capital Goods,"Automotive Vehicles, etc.",Consumer Goods,Other Goods
2013,,,,,,,
January (R),"190,659","9,339","61,101","45,868","23,731","44,495","6,126"
February,"190,166","9,577","58,514","46,215","24,832","45,190","5,837"
March,,,,,,,
April,,,,,,,
May,,,,,,,
June,,,,,,,
July,,,,,,,
August,,,,,,,
September,,,,,,,
October,,,,,,,
November,,,,,,,
December,,,,,,,
,,,,,,,
2012,"2,275,151","110,232","731,086","548,282","297,721","516,381","71,450"
January,"192,379","9,587","65,186","44,594","24,160","43,063","5,788"
February,"186,260","8,992","61,828","44,680","24,603","40,271","5,886"
March,"197,352","9,183","65,543","47,836","24,573","43,841","6,375"
April,"193,713","9,204","64,997","45,883","24,260","43,502","5,867"
May,"191,843","9,129","61,307","47,265","24,750","43,246","6,146"
June,"188,088","8,979","58,932","46,043","25,450","42,452","6,231"
July,"186,472","9,092","56,996","45,471","26,193","42,905","5,814"
August,"185,502","9,171","58,500","44,933","25,310","41,625","5,964"
September,"189,135","9,266","59,544","45,520","24,422","44,244","6,140"
October,"184,531","8,845","59,931","45,153","24,035","40,711","5,855"
November,"192,935","9,419","61,347","45,543","25,442","45,204","5,979"
December,"186,943","9,366","56,975","45,360","24,523","45,315","5,402"
,,,,,,,
2011,"2,207,824","107,460","755,807","510,737","254,609","514,061","65,150"
January,"178,853","8,426","60,831","41,673","21,215","41,727","4,981"
February,"174,796","8,581","57,403","39,892","20,316","43,643","4,961"
March,"182,102","8,587","63,586","41,268","21,248","41,982","5,431"
April,"181,886","8,862","62,963","41,812","19,097","43,695","5,457"
May,"185,506","9,015","66,216","42,715","19,373","42,750","5,437"
June,"184,773","9,102","64,532","42,459","19,608","43,155","5,918"
July,"185,102","8,860","62,981","42,932","22,315","42,997","5,016"
August,"184,390","8,903","62,886","42,838","21,488","42,414","5,861"
September,"186,042","9,146","63,902","42,965","22,371","42,312","5,348"
October,"185,885","9,425","62,237","43,727","21,797","43,376","5,323"
November,"187,416","9,321","63,495","43,586","22,574","42,653","5,787"
December,"191,073","9,233","64,775","44,870","23,208","43,357","5,630"
,,,,,,,
2010,"1,913,160","91,743","602,546","449,292","225,093","483,214","61,272"
January,"147,022","7,212","47,976","33,573","16,660","36,491","5,109"
February,"150,376","7,204","48,869","34,189","16,685","38,186","5,243"
March,"154,549","7,434","50,684","34,750","17,589","38,920","5,171"
April,"154,914","7,390","51,520","36,088","17,546","37,746","4,623"
May,"158,030","7,587","50,127","37,087","18,888","39,644","4,697"
June,"161,922","7,686","48,944","37,785","19,879","42,428","5,200"
July,"159,532","7,654","49,226","37,527","19,166","41,000","4,959"
August,"164,310","7,817","50,285","38,555","19,998","42,346","5,308"
September,"163,337","7,900","49,345","40,044","19,451","41,550","5,047"
October,"164,571","7,773","50,081","39,195","19,813","42,368","5,341"
November,"165,085","7,978","50,871","40,372","19,601","40,983","5,281"
December,"169,514","8,105","54,619","40,128","19,817","41,551","5,295"
,,,,,,,
2009,"1,559,625","81,615","462,380","370,480","157,652","427,332","60,165"
January,"129,116","6,912","38,296","31,808","11,207","35,852","5,040"
February,"121,807","6,767","34,436","30,223","10,489","34,494","5,398"
March,"121,885","6,741","34,511","30,059","10,394","35,365","4,815"
April,"120,572","6,706","33,460","29,173","10,622","35,822","4,789"
May,"118,736","6,704","33,208","28,905","10,207","34,772","4,940"
June,"122,156","6,789","36,773","29,112","11,124","33,607","4,751"
July,"129,912","6,832","38,584","30,401","13,315","35,450","5,331"
August,"128,770","6,720","38,290","30,111","14,140","34,794","4,716"
September,"136,267","6,742","41,668","31,379","15,758","35,454","5,265"
October,"139,309","6,906","42,232","32,212","16,224","36,667","5,068"
November,"143,475","6,825","44,732","32,822","16,514","37,690","4,893"
December,"147,620","6,972","46,190","34,275","17,659","37,365","5,160"
,,,,,,,
2008,"2,103,641","88,997","779,481","453,743","231,242","481,643","68,536"
January,"175,412","7,157","64,207","37,703","21,162","39,656","5,528"
February,"179,496","7,246","64,456","38,649","22,406","41,345","5,394"
March,"175,126","7,172","62,791","38,580","20,414","40,397","5,772"
