Country,net_oda
AU,4983
AT,1111
BE,2807
CA,5457
DK,2931
FI,1406
FR,12997
DE,14093
GR,425
IE,914
IT,4326
JP,10831
KR,1328
LU,409
NL,6344
NZ,424
NO,4934
PT,708
ES,4173
SE,5603
CH,3076
GB,13832
US,30924
AF,-5751.8
AL,-206.2
DZ,-117.4
AO,-118.3
AG,-11.1
AR,-60
AM,-164.5
AZ,-176
BD,-180.2
BY,-66.3
BZ,-6.4
BJ,-425.3
BT,-71.6
BO,-459.7
BA,-249.4
BW,-90
BR,-827.2
BF,-467.1
BI,-273.1
KH,-490.9
CM,-326.6
CV,-221.1
CF,-108.3
TD,-247.8
CL,-57.1
CN,-475.12
CO,-1032.04
KM,-28.21
CD,-4248.88
CG,-174.9
CR,-31.25
CI,-722.04
CU,-59.52
DJ,-89.38
DM,-8.1
DO,-187.09
EC,-136.77
EG,-228.16
SV,-249.5
GQ,-21.63
ER,-33.31
ET,-1972.7
FJ,-64.36
GA,-61.55
GM,-36.54
GE,-313.8
GH,-901.28
GD,-9.33
GT,-288.95
GN,-82.49
GW,-52.34
GY,-70.42
HT,-1183.61
HN,-160.85
IN,-2035.59
ID,-123.91
IR,-68.35
IQ,-1802.46
JM,6.9
JO,-471.17
KZ,-31.71
KE,-1563.41
KI,-59.16
KP,-40.38
KR,-276.24
KG,-175.68
LA,-264.26
LB,-260.71
LS,-142.31
LR,-522.53
LY,-463.28
MK,-73.95
MG,-227.52
MW,-447.83
MY,-17.86
MV,-21.09
ML,-781.72
MR,-130.76
MU,-113.54
MX,-847.19
FM,-129.01
MD,-101.16
MN,-246.91
ME,-26.42
MA,-841.63
MZ,-1698.67
MM,-273.77
NA,-233.32
NP,-489.62
NI,-332.73
NE,-302.38
NG,-855.69
PK,-2634.89
PA,-91.35
PG,-557.46
PY,-42.67
PE,-582.45
PH,229.75
RW,-604.74
WS,-61.39
ST,-37.92
SN,-589.7
RS,-250.16
SC,-6.64
SL,-180.07
SB,-299.23
SO,-754.08
ZA,-1034.12
SS,-1040.49
LK,-383.89
LC,-2.65
SD,-672.81
SR,-67.21
SZ,-66.92
SY,-77.22
TJ,-152.39
TZ,-1661.67
TH,197.29
TL,-243.41
TG,-328.22
TO,-66.83
TN,-490.76
TR,-395.65
TM,-12.27
TV,-28.39
UG,-991.17
UA,-484
UY,-1.13
UZ,-51.06
VU,-90.29
VE,-30.96
VN,-2055.09
YE,-312.07
ZM,-701.13
ZW,-539.71
