,AU,AT,BE,CA,DK,FI,FR,DE,GR,IE,IT,JP,KR,LU,NL,NZ,NO,PT,ES,SE,CH,GB,US,Total
AF,1.03,159.39,16.86,225.15,90.15,31.05,65.73,539.3,0.77,9.1,55.27,750.34,27.99,3.47,108.48,5.93,138.68,2.1,57.62,114.98,23.76,423.42,2901.22,5751.8
AL,8.09,0.01,0.02,0.07,1.42,0.57,4.2,38.76,51.97,0.01,40.42,5.85,0.07,0.04,0.38,0,2.76,0,-0.53,13.25,12.66,0.68,25.47,206.2
DZ,0.15,0.07,6.97,-0.15,0,0.17,73.29,10.39,0.07,0.35,6.11,1.43,3.87,0,0.05,0,0.9,0.01,-0.61,1.08,2.68,1.44,9.14,117.4
AO,0.02,0.22,1.12,1.02,1.17,1.57,4.24,5.68,0.03,1.14,-0.6,11.42,16.75,0,-2.96,0,13.05,-7.49,2.71,1.4,0.59,0.69,66.54,118.3
AG,0,0.93,0,0.01,0,0.01,0,0.04,0.06,0,0,9.64,0.02,0,0,0,0,0,0.21,0,0,0,0.18,11.1
AR,0.34,0.37,0.03,2.49,-4.19,0.19,10.95,21.84,0.52,0.26,5.07,8.73,0.11,0.17,0.05,0.14,0.05,0.1,2.52,0.12,0.36,1.19,8.59,60
AM,2.32,0,0.37,0.03,4.16,0.24,5.59,40.93,1.92,0,0.53,7.41,1.49,0.1,0.86,0,3.07,0,0.13,0.7,3.72,0.36,90.52,164.5
AZ,0.51,0.06,0,0.04,0.08,0.67,2.48,13.83,0.19,0,0.03,105.47,11.29,0.1,0,0,3.37,0,0.05,0.84,5.84,0.96,30.15,176
BD,0.69,79.58,0.49,61.21,58.36,0.82,-4.2,77.06,0.2,2.31,2.02,67.91,80.02,1.67,77.75,1.16,16.98,0,4,33.72,32.66,368.62,117.14,180.2
BY,0.92,0,0.05,0.08,1.71,0.41,0.97,17.64,0.17,0.39,0.12,0.08,0.25,0.01,0,0,3.7,0,0.18,21.46,0.3,0.12,17.75,66.3
BZ,0,1.45,0,0.11,0,0.02,0,0.13,0,0,0,1.22,0.11,0,0,0.02,0,0,0.05,0,0,0.52,2.76,6.4
BJ,0.05,0.53,28.39,7.74,36.23,0.37,41.54,49.5,0,0.26,1.2,26.18,0.13,1.45,27.81,0,0.01,0.01,1.22,0.35,12.15,0.07,190.1,425.3
BT,3.88,7.75,0,0.91,12.66,0.26,0.22,0.58,0,0,0,31.88,0.84,0,2.78,0,2.74,0,0.01,0,4.39,0,2.66,71.6
BO,0.25,0.01,23.62,27,39.45,1.06,10.13,39.29,0.01,1.25,9.94,38.86,1.35,1.24,53.65,0,5.82,0,51.38,35.14,29.71,0.14,90.4,459.7
BA,27.01,0.01,-0.14,0.16,0.06,2.16,2.94,32.94,0.66,0.34,5.19,1.51,14.22,0,10.72,0,14.87,0.14,36.4,30,27.43,4.79,37.97,249.4
BW,0,2.89,0.03,1.18,0,0.54,0.68,2.03,0,0.04,0,-0.09,0,0,0,0,0.5,0.09,0,2.11,0,1.56,78.48,90
BR,1.59,0.35,4.46,4.14,0,1.51,59.18,215.71,0.45,0.85,7.86,152.63,0.8,2.85,0.24,0.27,250.97,8.25,21.1,2.05,4.02,49.37,38.55,827.2
BF,7.06,0.9,11.57,26.18,42.57,0,78.54,43.78,0,0.07,4.87,40.3,0.71,16.92,53.88,0,0.76,0,3.03,37.64,30.15,0.82,67.33,467.1
BI,0.86,0.93,63.85,2.82,1.98,0.62,13.56,32.9,0.08,1.67,2.67,21.2,0.21,1.14,19.64,0,17.33,0,0.2,6.61,15.26,17.72,51.82,273.1
KH,0.59,71.55,7.16,18.15,9.65,3.08,25.67,10.11,0,2.99,1.46,130.93,62.23,0.2,0.25,2.88,9.03,0,21.15,28.53,5.41,6.1,73.78,490.9
CM,0.32,0.69,4.61,12.23,0.11,0.45,148.93,97.08,0.15,0.52,3.89,23.68,4.3,0.45,0,0,0.5,0,4.17,1.76,1.86,0.82,20.12,326.6
CV,0.43,0.22,0.32,0.11,0,0,1.75,0.21,0.01,0,0.53,26.54,0,15.21,2.39,0,0.02,146.73,15.46,0,1.19,0.03,9.92,221.1
CF,0.02,1.21,3.9,5.81,0,1.91,21.43,5.31,0,3.48,0.53,38.25,0.28,0.5,0,0,0,0,1.43,10.24,2.12,0,11.91,108.3
TD,0,2.19,1.71,9.4,0.76,4.31,35.54,14.72,0.01,2.22,1.2,20.82,0.56,0.07,4.87,0,-0.01,0,9.93,12.03,13.2,0.38,113.87,247.8
CL,0.23,0.85,0.42,1.7,0,0.3,9.68,36.46,0.16,0.03,-0.36,3.64,0.21,0.68,0.13,0.98,-11.9,0.09,8.22,0.14,0.95,0.55,3.89,57.1
CN,20.91,34.56,-3.51,-1.97,12.08,2.81,290.97,485.55,0.52,0.05,-33.04,-481.32,-1.02,0.23,2.15,1.05,23.49,5.59,-22.11,9.98,10.75,64.86,52.54,475.12
