"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Australia","","Flow Type(s):"," Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","2011",
"Recipient(s)",
"Afghanistan","","159.39"
"Albania","","0.01"
"Algeria","","0.07"
"Angola","","0.22"
"Anguilla","",".."
"Antigua & Barbuda","","0.93"
"Argentina","","0.37"
"Armenia","",".."
"Aruba","",".."
"Azerbaijan","","0.06"
"Bahamas","",".."
"Bahrain","",".."
"Bangladesh","","79.58"
"Barbados","",".."
"Belarus","",".."
"Belize","","1.45"
"Benin","","0.53"
"Bermuda","",".."
"Bhutan","","7.75"
"Bolivia","","0.01"
"Bosnia-Herzegovina","","0.01"
"Botswana","","2.89"
"Brazil","","0.35"
"Brunei","",".."
"Burkina Faso","","0.9"
"Burundi","","0.93"
"Cambodia","","71.55"
"Cameroon","","0.69"
"Cape Verde","","0.22"
"Cayman Islands","",".."
"Central African Rep.","","1.21"
"Chad","","2.19"
"Chile","","0.85"
"China","","34.56"
"Chinese Taipei","",".."
"Colombia","","0.65"
"Comoros","","0.15"
"Congo, Dem. Rep.","","10.43"
"Congo, Rep.","","0.25"
"Cook Islands","","5.55"
"Costa Rica","","0.02"
"Cote d'Ivoire","","0.79"
"Croatia","",".."
"Cuba","","0.71"
"Cyprus","",".."
"Djibouti","","0.19"
"Dominica","","1.06"
"Dominican Republic","","0.84"
"Ecuador","","0.05"
"Egypt","","8.48"
"El Salvador","","0.09"
"Equatorial Guinea","","0.02"
"Eritrea","",".."
"Ethiopia","","18.82"
"Falkland Islands","",".."
"Fiji","","36.58"
"French Polynesia","",".."
"Gabon","","0.08"
"Gambia","","1.3"
"Georgia","",".."
"Ghana","","3.31"
"Grenada","","1.09"
"Guatemala","","0.85"
"Guinea","","0.2"
"Guinea-Bissau","","0.38"
"Guyana","","0.98"
"Haiti","","2.61"
"Honduras","",".."
"India","","24.33"
"Indonesia","","447.46"
"Iran","","0.38"
"Iraq","","37.18"
"Israel","",".."
"Jamaica","","1.37"
"Jordan","","0.69"
"Kazakstan","",".."
"Kenya","","15.28"
"Kiribati","","40.98"
"Korea, Dem. Rep.","","6.71"
"Kosovo","",".."
"Kuwait","",".."
"Kyrgyz Republic","",".."
"Laos","","53.93"
"Lebanon","","0.95"
"Lesotho","","1.34"
"Liberia","","3.03"
"Libya","","40.95"
"Macedonia (FYROM)","","0.01"
"Madagascar","","0.78"
"Malawi","","6.81"
"Malaysia","","3.54"
"Maldives","","4.13"
"Mali","","0.9"
"Malta","",".."
"Marshall Islands","","2.6"
"Mauritania","","0.08"
"Mauritius","","1"
"Mayotte","",".."
"Mexico","","1.33"
"Micronesia","","2.05"
"Moldova","",".."
"Mongolia","","7.42"
"Montenegro","","0.01"
"Montserrat","",".."
"Morocco","","0.16"
"Mozambique","","6.73"
"Myanmar (Burma)","","44.43"
"Namibia","","1.2"
"Nepal","","28.45"
"Nicaragua","","0.05"
"Niger","","3.75"
"Nigeria","","3.31"
"Oman","",".."
"Pakistan","","74.49"
"Panama","","0.01"
"Papua New Guinea","","510.9"
"Paraguay","","1.67"
"Peru","","0.73"
"Philippines","","114.38"
"Qatar","",".."
"Rwanda","","2.08"
"Samoa","","29.02"
"Sao Tome & Principe","","0.13"
"Saudi Arabia","",".."
"Senegal","","1.05"
"Serbia","","0.01"
"Seychelles","","0.88"
"Sierra Leone","","1.44"
"Singapore","",".."
"Slovenia","",".."
"Solomon Islands","","252.02"
"Somalia","","63.08"
"South Africa","","5.03"
"South Sudan","","2.65"
"Sri Lanka","","58.22"
"St. Helena","",".."
"St. Kitts-Nevis","","1.02"
"St. Lucia","","2"
"St.Vincent & Grenadines","","1.04"
"Sudan","","31.13"
"Suriname","","0.89"
"Swaziland","","1.45"
"Syria","","5.21"
"Tajikistan","","0.13"
"Tanzania","","13.58"
"Thailand","","10.33"
"Timor-Leste","","103.87"
"Togo","","0.74"
"Tonga","","31.36"
"Trinidad & Tobago","",".."
"Tunisia","","0.64"
"Turkey","","0.2"
"Turkmenistan","",".."
"Turks & Caicos Islands","",".."
"Tuvalu","","9.59"
"Uganda","","11.09"
"Ukraine","",".."
"United Arab Emirates","",".."
"Uruguay","","0.03"
"Uzbekistan","",".."
"Vanuatu","","61.78"
"Venezuela","","0.09"
"Vietnam","","137.26"
"Yemen","","5.17"
"Zambia","","9.09"
"Zimbabwe","","47.55"
