"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","France","","Flow Type(s):"," Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","2011",
"Recipient(s)",
"Afghanistan","","65.73"
"Albania","","4.2"
"Algeria","","73.29"
"Angola","","4.24"
"Anguilla","",".."
"Antigua & Barbuda","",".."
"Argentina","","10.95"
"Armenia","","5.59"
"Aruba","",".."
"Azerbaijan","","2.48"
"Bahamas","",".."
"Bahrain","",".."
"Bangladesh","","-4.2"
"Barbados","",".."
"Belarus","","0.97"
"Belize","",".."
"Benin","","41.54"
"Bermuda","",".."
"Bhutan","","0.22"
"Bolivia","","10.13"
"Bosnia-Herzegovina","","2.94"
"Botswana","","0.68"
"Brazil","","59.18"
"Brunei","",".."
"Burkina Faso","","78.54"
"Burundi","","13.56"
"Cambodia","","25.67"
"Cameroon","","148.93"
"Cape Verde","","1.75"
"Cayman Islands","",".."
"Central African Rep.","","21.43"
"Chad","","35.54"
"Chile","","9.68"
"China","","290.97"
"Chinese Taipei","",".."
"Colombia","","178.73"
"Comoros","","21.81"
"Congo, Dem. Rep.","","1131.04"
"Congo, Rep.","","61.31"
"Cook Islands","","-0.12"
"Costa Rica","","3.3"
"Cote d'Ivoire","","553.21"
"Croatia","",".."
"Cuba","","2.39"
"Cyprus","",".."
"Djibouti","","43.96"
"Dominica","","2.39"
"Dominican Republic","","105.95"
"Ecuador","","0.52"
"Egypt","","115.84"
"El Salvador","","3.21"
"Equatorial Guinea","","3.68"
"Eritrea","","0.79"
"Ethiopia","","13.19"
"Falkland Islands","",".."
"Fiji","","0.78"
"French Polynesia","",".."
"Gabon","","51.39"
"Gambia","","0.35"
"Georgia","","7.27"
"Ghana","","36.67"
"Grenada","","-0.47"
"Guatemala","","3.22"
"Guinea","","36.42"
"Guinea-Bissau","","14.39"
"Guyana","",".."
"Haiti","","53.52"
"Honduras","","1.72"
"India","","75.97"
"Indonesia","","-42.5"
"Iran","","14.87"
"Iraq","","9.4"
"Israel","",".."
"Jamaica","","-0.02"
"Jordan","","21.18"
"Kazakstan","","3.32"
"Kenya","","92.78"
"Kiribati","",".."
"Korea, Dem. Rep.","","1.49"
"Kosovo","","1.12"
"Kuwait","",".."
"Kyrgyz Republic","","0.8"
"Laos","","16.84"
"Lebanon","","55.3"
"Lesotho","","-1.52"
"Liberia","","1.31"
"Libya","","14.3"
"Macedonia (FYROM)","","3.18"
"Madagascar","","89.25"
"Malawi","","0.15"
"Malaysia","","1.97"
"Maldives","","0.63"
"Mali","","73.45"
"Malta","",".."
"Marshall Islands","",".."
"Mauritania","","57.15"
"Mauritius","","100.53"
"Mayotte","",".."
"Mexico","","430.92"
"Micronesia","",".."
"Moldova","","6.97"
"Mongolia","","5.16"
"Montenegro","","0.54"
"Montserrat","",".."
"Morocco","","523.85"
"Mozambique","","11"
"Myanmar (Burma)","","3.34"
"Namibia","","-2.49"
"Nepal","","-3.35"
"Nicaragua","","1.37"
"Niger","","47.28"
"Nigeria","","10.56"
"Oman","",".."
"Pakistan","","15.03"
"Panama","","0.52"
"Papua New Guinea","","0.11"
"Paraguay","","0.42"
"Peru","","10.98"
"Philippines","","-10.38"
"Qatar","",".."
"Rwanda","","5.3"
"Samoa","","0.22"
"Sao Tome & Principe","","2.22"
"Saudi Arabia","",".."
"Senegal","","177.32"
"Serbia","","11.27"
"Seychelles","","2.39"
"Sierra Leone","","0.43"
"Singapore","",".."
"Slovenia","",".."
"Solomon Islands","","0.54"
"Somalia","","2.93"
"South Africa","","143.92"
"South Sudan","","0.26"
"Sri Lanka","","11.54"
"St. Helena","",".."
"St. Kitts-Nevis","","-0.02"
"St. Lucia","","-1.98"
"St.Vincent & Grenadines","","-1.1"
"Sudan","","8.48"
"Suriname","","14.17"
"Swaziland","","0.21"
"Syria","","22.2"
"Tajikistan","","0.19"
"Tanzania","","19.96"
"Thailand","","-12.61"
"Timor-Leste","","0.17"
"Togo","","36.78"
"Tonga","",".."
"Trinidad & Tobago","",".."
"Tunisia","","304.36"
"Turkey","","244.6"
"Turkmenistan","","0.16"
"Turks & Caicos Islands","",".."
"Tuvalu","",".."
"Uganda","","0.6"
"Ukraine","","36.12"
"United Arab Emirates","",".."
"Uruguay","","0.1"
"Uzbekistan","","1.93"
"Vanuatu","","2.16"
"Venezuela","","7.47"
"Vietnam","","220.45"
"Yemen","","4.55"
"Zambia","","0.82"
"Zimbabwe","","1.82"
