"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Germany","","Flow Type(s):"," Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","2011",
"Recipient(s)",
"Afghanistan","","539.3"
"Albania","","38.76"
"Algeria","","10.39"
"Angola","","5.68"
"Anguilla","",".."
"Antigua & Barbuda","","0.04"
"Argentina","","21.84"
"Armenia","","40.93"
"Aruba","",".."
"Azerbaijan","","13.83"
"Bahamas","",".."
"Bahrain","",".."
"Bangladesh","","77.06"
"Barbados","",".."
"Belarus","","17.64"
"Belize","","0.13"
"Benin","","49.5"
"Bermuda","",".."
"Bhutan","","0.58"
"Bolivia","","39.29"
"Bosnia-Herzegovina","","32.94"
"Botswana","","2.03"
"Brazil","","215.71"
"Brunei","",".."
"Burkina Faso","","43.78"
"Burundi","","32.9"
"Cambodia","","10.11"
"Cameroon","","97.08"
"Cape Verde","","0.21"
"Cayman Islands","",".."
"Central African Rep.","","5.31"
"Chad","","14.72"
"Chile","","36.46"
"China","","485.55"
"Chinese Taipei","",".."
"Colombia","","46.22"
"Comoros","","0.02"
"Congo, Dem. Rep.","","93.89"
"Congo, Rep.","","100.37"
"Cook Islands","",".."
"Costa Rica","","9.9"
"Cote d'Ivoire","","19.46"
"Croatia","",".."
"Cuba","","2.85"
"Cyprus","",".."
"Djibouti","","6.8"
"Dominica","","0.04"
"Dominican Republic","","0.75"
"Ecuador","","41.11"
"Egypt","","164.33"
"El Salvador","","14.85"
"Equatorial Guinea","","0.08"
"Eritrea","","0.8"
"Ethiopia","","101.21"
"Falkland Islands","",".."
"Fiji","","0.84"
"French Polynesia","",".."
"Gabon","","-3.52"
"Gambia","","0.47"
"Georgia","","73.61"
"Ghana","","99.32"
"Grenada","","0.03"
"Guatemala","","18.17"
"Guinea","","13.92"
"Guinea-Bissau","","1.31"
"Guyana","","5.82"
"Haiti","","27.91"
"Honduras","","14.34"
"India","","496.9"
"Indonesia","","74.72"
"Iran","","54.3"
"Iraq","","29.49"
"Israel","",".."
"Jamaica","","-5.39"
"Jordan","","35.59"
"Kazakstan","","5.88"
"Kenya","","156.56"
"Kiribati","","0.05"
"Korea, Dem. Rep.","","2.52"
"Kosovo","","34.18"
"Kuwait","",".."
"Kyrgyz Republic","","32.87"
"Laos","","24.32"
"Lebanon","","29.16"
"Lesotho","","3.86"
"Liberia","","110"
"Libya","","15.25"
"Macedonia (FYROM)","","23.25"
"Madagascar","","20.26"
"Malawi","","26.31"
"Malaysia","","10.8"
"Maldives","","0.28"
"Mali","","36.49"
"Malta","",".."
"Marshall Islands","",".."
"Mauritania","","9.3"
"Mauritius","","-0.17"
"Mayotte","",".."
"Mexico","","91.25"
"Micronesia","","0.04"
"Moldova","","8.58"
"Mongolia","","34.72"
"Montenegro","","4.08"
"Montserrat","",".."
"Morocco","","56.09"
"Mozambique","","91.94"
"Myanmar (Burma)","","10.73"
"Namibia","","68.7"
"Nepal","","40.42"
"Nicaragua","","21.81"
"Niger","","29.86"
"Nigeria","","21.78"
"Oman","",".."
"Pakistan","","125.66"
"Panama","","1.47"
"Papua New Guinea","","1.59"
"Paraguay","","4.1"
"Peru","","217"
"Philippines","","10.17"
"Qatar","",".."
"Rwanda","","47.35"
"Samoa","","0.51"
"Sao Tome & Principe","","0.08"
"Saudi Arabia","",".."
"Senegal","","25.44"
"Serbia","","71.46"
"Seychelles","","0.58"
"Sierra Leone","","16.7"
"Singapore","",".."
"Slovenia","",".."
"Solomon Islands","",".."
"Somalia","","34.01"
"South Africa","","105.29"
"South Sudan","","17.37"
"Sri Lanka","","1.89"
"St. Helena","",".."
"St. Kitts-Nevis","","0.01"
"St. Lucia","","0.03"
"St.Vincent & Grenadines","","0.03"
"Sudan","","29.6"
"Suriname","","0.04"
"Swaziland","","0.71"
"Syria","","45.38"
"Tajikistan","","39.69"
"Tanzania","","93.51"
"Thailand","","-48.91"
"Timor-Leste","","8.02"
"Togo","","33.73"
"Tonga","",".."
"Trinidad & Tobago","",".."
"Tunisia","","31.13"
"Turkey","","58.65"
"Turkmenistan","","1.59"
"Turks & Caicos Islands","",".."
"Tuvalu","",".."
"Uganda","","61.88"
"Ukraine","","79.84"
"United Arab Emirates","",".."
"Uruguay","","-9.02"
"Uzbekistan","","16.39"
"Vanuatu","",".."
"Venezuela","","7.94"
"Vietnam","","123.86"
"Yemen","","100.81"
"Zambia","","39.56"
"Zimbabwe","","58.5"
