"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","Japan","","Flow Type(s):"," Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","2011",
"Recipient(s)",
"Afghanistan","","750.34"
"Albania","","5.85"
"Algeria","","1.43"
"Angola","","11.42"
"Anguilla","",".."
"Antigua & Barbuda","","9.64"
"Argentina","","8.73"
"Armenia","","7.41"
"Aruba","",".."
"Azerbaijan","","105.47"
"Bahamas","",".."
"Bahrain","",".."
"Bangladesh","","67.91"
"Barbados","",".."
"Belarus","","0.08"
"Belize","","1.22"
"Benin","","26.18"
"Bermuda","",".."
"Bhutan","","31.88"
"Bolivia","","38.86"
"Bosnia-Herzegovina","","1.51"
"Botswana","","-0.09"
"Brazil","","152.63"
"Brunei","",".."
"Burkina Faso","","40.3"
"Burundi","","21.2"
"Cambodia","","130.93"
"Cameroon","","23.68"
"Cape Verde","","26.54"
"Cayman Islands","",".."
"Central African Rep.","","38.25"
"Chad","","20.82"
"Chile","","3.64"
"China","","-481.32"
"Chinese Taipei","",".."
"Colombia","","2.42"
"Comoros","","3.66"
"Congo, Dem. Rep.","","186.74"
"Congo, Rep.","","7.21"
"Cook Islands","","0.07"
"Costa Rica","","-3.12"
"Cote d'Ivoire","","8.17"
"Croatia","",".."
"Cuba","","4.73"
"Cyprus","",".."
"Djibouti","","16.57"
"Dominica","","3.4"
"Dominican Republic","","-6.17"
"Ecuador","","-10.29"
"Egypt","","-91.29"
"El Salvador","","-8.65"
"Equatorial Guinea","","0.32"
"Eritrea","","9.44"
"Ethiopia","","119.7"
"Falkland Islands","",".."
"Fiji","","18.76"
"French Polynesia","",".."
"Gabon","","10.96"
"Gambia","","11.45"
"Georgia","","4.71"
"Ghana","","45.94"
"Grenada","","8.49"
"Guatemala","","15.23"
"Guinea","","1.98"
"Guinea-Bissau","","9.78"
"Guyana","","0.85"
"Haiti","","22.24"
"Honduras","","10.76"
"India","","796.37"
"Indonesia","","-633.71"
"Iran","","-15.37"
"Iraq","","370.21"
"Israel","",".."
"Jamaica","","-22.63"
"Jordan","","-103.86"
"Kazakstan","","-21.51"
"Kenya","","79.74"
"Kiribati","","3.84"
"Korea, Dem. Rep.","",".."
"Kosovo","","1.88"
"Kuwait","",".."
"Kyrgyz Republic","","29.9"
"Laos","","48.51"
"Lebanon","","6.69"
"Lesotho","","20.23"
"Liberia","","44.55"
"Libya","","8.18"
"Macedonia (FYROM)","","3.75"
"Madagascar","","10.7"
"Malawi","","28.64"
"Malaysia","","-21.01"
"Maldives","","4.55"
"Mali","","44.06"
"Malta","",".."
"Marshall Islands","","6.21"
"Mauritania","","9.99"
"Mauritius","","-2.44"
"Mayotte","",".."
"Mexico","","-51.99"
"Micronesia","","28.39"
"Moldova","","8.1"
"Mongolia","","75.63"
"Montenegro","","4.67"
"Montserrat","",".."
"Morocco","","30.11"
"Mozambique","","48.49"
"Myanmar (Burma)","","42.5"
"Namibia","","25.21"
"Nepal","","63.47"
"Nicaragua","","19.8"
"Niger","","15.86"
"Nigeria","","38.57"
"Oman","",".."
"Pakistan","","528.47"
"Panama","","62.9"
"Papua New Guinea","","11.34"
"Paraguay","","-23.92"
"Peru","","75.27"
"Philippines","","-566.89"
"Qatar","",".."
"Rwanda","","24.28"
"Samoa","","17.39"
"Sao Tome & Principe","","3.54"
"Saudi Arabia","",".."
"Senegal","","82.83"
"Serbia","","9.17"
"Seychelles","","1.24"
"Sierra Leone","","26.53"
"Singapore","",".."
"Slovenia","",".."
"Solomon Islands","","24.11"
"Somalia","","51.97"
"South Africa","","8.11"
"South Sudan","","25.56"
"Sri Lanka","","168.05"
"St. Helena","",".."
"St. Kitts-Nevis","","0.73"
"St. Lucia","","2.02"
"St.Vincent & Grenadines","","0.69"
"Sudan","","96.72"
"Suriname","","0.03"
"Swaziland","","12.55"
"Syria","","-34.27"
"Tajikistan","","35.28"
"Tanzania","","119.44"
"Thailand","","-184.01"
"Timor-Leste","","26.71"
"Togo","","9.26"
"Tonga","","18.61"
"Trinidad & Tobago","",".."
"Tunisia","","24.97"
"Turkey","","25.66"
"Turkmenistan","","-1.75"
"Turks & Caicos Islands","",".."
"Tuvalu","","14.13"
"Uganda","","57.12"
"Ukraine","","111.3"
"United Arab Emirates","",".."
"Uruguay","","0.51"
"Uzbekistan","","-3.64"
"Vanuatu","","7.39"
"Venezuela","","3.43"
"Vietnam","","1013.05"
"Yemen","","12.58"
"Zambia","","46.08"
"Zimbabwe","","18.1"
