"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","United States","","Flow Type(s):"," Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","2011",
"Recipient(s)",
"Afghanistan","","2901.22"
"Albania","","25.47"
"Algeria","","9.14"
"Angola","","66.54"
"Anguilla","",".."
"Antigua & Barbuda","","0.18"
"Argentina","","8.59"
"Armenia","","90.52"
"Aruba","",".."
"Azerbaijan","","30.15"
"Bahamas","",".."
"Bahrain","",".."
"Bangladesh","","117.14"
"Barbados","",".."
"Belarus","","17.75"
"Belize","","2.76"
"Benin","","190.1"
"Bermuda","",".."
"Bhutan","","2.66"
"Bolivia","","90.4"
"Bosnia-Herzegovina","","37.97"
"Botswana","","78.48"
"Brazil","","38.55"
"Brunei","",".."
"Burkina Faso","","67.33"
"Burundi","","51.82"
"Cambodia","","73.78"
"Cameroon","","20.12"
"Cape Verde","","9.92"
"Cayman Islands","",".."
"Central African Rep.","","11.91"
"Chad","","113.87"
"Chile","","3.89"
"China","","52.54"
"Chinese Taipei","",".."
"Colombia","","602.22"
"Comoros","","0.37"
"Congo, Dem. Rep.","","1293.2"
"Congo, Rep.","","1.74"
"Cook Islands","",".."
"Costa Rica","","10.26"
"Cote d'Ivoire","","74.31"
"Croatia","",".."
"Cuba","","12.81"
"Cyprus","",".."
"Djibouti","","16.53"
"Dominica","",".."
"Dominican Republic","","27.2"
"Ecuador","","42.08"
"Egypt","","-99.38"
"El Salvador","","165.21"
"Equatorial Guinea","","0.05"
"Eritrea","","0.07"
"Ethiopia","","706.66"
"Falkland Islands","",".."
"Fiji","","2.37"
"French Polynesia","",".."
"Gabon","","0.66"
"Gambia","","3.1"
"Georgia","","172.6"
"Ghana","","307.9"
"Grenada","","0.02"
"Guatemala","","102.05"
"Guinea","","17.31"
"Guinea-Bissau","","1.73"
"Guyana","","18.81"
"Haiti","","620.18"
"Honduras","","47.46"
"India","","79.98"
"Indonesia","","185.34"
"Iran","","1.31"
"Iraq","","1264.03"
"Israel","",".."
"Jamaica","","0.95"
"Jordan","","448.96"
"Kazakstan","","36.44"
"Kenya","","715.42"
"Kiribati","",".."
"Korea, Dem. Rep.","","2.04"
"Kosovo","","92.27"
"Kuwait","",".."
"Kyrgyz Republic","","65.03"
"Laos","","11.67"
"Lebanon","","86.66"
"Lesotho","","97.04"
"Liberia","","153.14"
"Libya","","290.25"
"Macedonia (FYROM)","","19.82"
"Madagascar","","66.41"
"Malawi","","154.55"
"Malaysia","","10.39"
"Maldives","",".."
"Mali","","265.36"
"Malta","",".."
"Marshall Islands","","75.18"
"Mauritania","","11.62"
"Mauritius","","0.16"
"Mayotte","",".."
"Mexico","","374.89"
"Micronesia","","98.42"
"Moldova","","28.67"
"Mongolia","","58.59"
"Montenegro","","6.45"
"Montserrat","",".."
"Morocco","","125.71"
"Mozambique","","387.01"
"Myanmar (Burma)","","29.04"
"Namibia","","112.94"
"Nepal","","65.45"
"Nicaragua","","59.74"
"Niger","","92.42"
"Nigeria","","409.23"
"Oman","",".."
"Pakistan","","1273.85"
"Panama","","15.45"
"Papua New Guinea","","3.57"
"Paraguay","","33.38"
"Peru","","125.53"
"Philippines","","116.65"
"Qatar","",".."
"Rwanda","","193.07"
"Samoa","","1.42"
"Sao Tome & Principe","","0.61"
"Saudi Arabia","",".."
"Senegal","","114.03"
"Serbia","","42.18"
"Seychelles","","0.02"
"Sierra Leone","","27.06"
"Singapore","",".."
"Slovenia","",".."
"Solomon Islands","","0.25"
"Somalia","","121.46"
"South Africa","","564.03"
"South Sudan","","707.42"
"Sri Lanka","","24.71"
"St. Helena","",".."
"St. Kitts-Nevis","","-0.39"
"St. Lucia","",".."
"St.Vincent & Grenadines","","-0.18"
"Sudan","","16.45"
"Suriname","","0.97"
"Swaziland","","46.29"
"Syria","","16.06"
"Tajikistan","","34.1"
"Tanzania","","535.18"
"Thailand","","16.35"
"Timor-Leste","","36.63"
"Togo","","4.43"
"Tonga","","1.48"
"Trinidad & Tobago","",".."
"Tunisia","","4.68"
"Turkey","","11.5"
"Turkmenistan","","10.7"
"Turks & Caicos Islands","",".."
"Tuvalu","","0.05"
"Uganda","","397.92"
"Ukraine","","135.81"
"United Arab Emirates","",".."
"Uruguay","","1.57"
"Uzbekistan","","7.68"
"Vanuatu","","3.5"
"Venezuela","","7.66"
"Vietnam","","92.73"
"Yemen","","74.08"
"Zambia","","276.69"
"Zimbabwe","","180.07"
